-79.4621	0.360002	0.047117
-82.3442	0.315726	0.133328
-66.1572	0.933794	0.246201
-44.0035	0.92024	0.329429
-54.7984	0.941872	0.491533
-39.8638	0.907498	0.281596
-31.1253	0.923399	0.41702
-33.3214	0.970937	0.552521
-37.3934	0.556064	0.318359
-33.517	0.196443	0.446101
-33.0602	0.152626	0.287124
-37.6063	-0.0816033	0.255756
-40.9009	-0.169178	0.200995
-42.1699	-0.147198	0.193446
-37.8637	0.144897	0.393032
-32.6116	0.97475	0.260066
-31.641	0.981275	0.635744
-32.0939	0.979584	0.730776
-31.3721	0.9798	0.784117
-28.9755	0.978132	0.77893
-27.0639	0.975878	0.792197
-25.3366	0.977011	0.782457
-24.5782	0.97631	0.793507
-26.1047	0.97547	0.767134
-31.5821	0.96633	0.712157
-37.2307	0.969312	0.638588
-40.1656	0.915706	0.452633
-41.4712	0.883136	0.360759
-40.7117	0.870618	0.351783
-40.4114	0.891173	0.284616
-36.9621	0.937218	0.580939
-30.1268	0.973245	0.758493
-25.7614	0.970803	0.816547
-23.5421	0.971497	0.838877
-24.245	0.97297	0.828489
-25.5087	0.977073	0.803083
-26.5821	0.977625	0.767558
-27.0109	0.976977	0.688554
-27.7014	0.972991	0.593349
-28.1254	0.969865	0.562163
-38.2679	0.944523	0.30857
-49.9308	0.997878	0.488577
-44.8292	0.882523	0.109628
-38.1689	0.842311	0.174806
-38.9065	0.839143	0.223164
-29.6988	0.97379	0.434584
-27.0337	0.974384	0.429229
-28.4754	0.980563	0.517637
-29.7765	0.971418	0.311656
-38.4509	0.970785	0.251883
-43.7566	0.935509	0.255357
-41.4557	0.521985	0.209837
-37.8147	0.391877	0.285488
-34.9501	0.368133	0.36081
-37.5528	0.363168	0.452676
-40.5038	0.426353	0.242563
-41.3167	0.539131	0.239852
-42.4278	0.633014	0.189907
-42.4387	0.702438	0.238218
-41.1675	0.957927	0.358287
-38.445	0.981794	0.413154
-34.6224	0.960277	0.153106
-33.953	0.957356	0.410419
-33.8291	0.952672	0.426035
-34.5128	0.956709	0.343661
-35.9342	0.955226	0.433963
-39.9795	0.955499	0.39955
-42.8335	0.993499	0.392752
-43.175	0.994779	0.430541
-43.6796	0.993072	0.460376
-43.2607	0.991121	0.406767
-38.4177	0.972234	0.381195
-38.8509	0.959491	0.378437
-41.2084	0.937229	0.332139
-41.9256	0.923568	0.263133
-41.7754	0.92243	0.334164
-41.1192	0.934338	0.296278
-38.1607	0.957233	0.331121
-36.1518	0.971213	0.389193
-35.4006	0.968011	0.40663
-36.4967	0.975741	0.363853
-38.7281	0.986326	0.26372
-44.188	0.922091	0.122407
-56.5497	0.798547	0.156274
